NacidoProvincia;Sexo;EstadoCivil;CantHijos;DomicilioPartido;DomicilioProvincia;ComisariaJurisdiccional;Departamental;PoseeLicenciaConducir;TituloSecundario;TipoOtroEstudio;ConoceComputacion;ConoceIngles;ConoceOtros;Edad
BUENOS AIRES;F;Soltera/o;1;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 4TA;JEF.DEP.DE SEG.LA PLATA;SI;BACHILLERATO DE ADULTOS;No posee;NO;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 3RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;0;QUILMES;BUENOS AIRES;CRIA.SAN MARTIN 5TA;JEF.DEP.DE SEG.SAN MARTIN;NO;DE BACHILLER EN ARTE- ARTES VISUALES.;Terciario Incompleto;NO;NO;NO;20
BUENOS AIRES;M;Soltera/o;0;MERCEDES;BUENOS AIRES;EST.POL.COM.MERCEDES;JEF.DEP.DE SEG.MERCEDES;NO;BACHILLER DE ADULTOS CON ORIENTACIÓN EN PRODUCCIÓN DE BIENES Y SERVICIOS;No posee;SI;SI;NO;23
TUCUMAN;M;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 2DA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLERATO EN CIENCIAS NATURALES;No posee;NO;NO;NO;22
BUENAS AIRES;M;Soltera/o;1;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 2DA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER ORIENTADO EN GESTIÓN Y ADMINISTRACIÓN;No posee;SI;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;TRENQUE LAUQUEN;BUENOS AIRES;CRIA.TRENQUE LAUQUEN;JEF.DEP.DE SEG.TRENQUE LAUQ.;NO;BACHILLER AGRARIO;No posee;SI;SI;SI;20
BUENOS AIRES;M;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 1RA;JEF.DEP.DE SEG.MERLO;SI;BACHILLERATO EN ECONOMÍA Y GESTIÓN;No posee;NO;NO;NO;22
VILLA RAMALLO;M;Soltera/o;0;RAMALLO;BUENOS AIRES;EST.POL.COM. RAMALLO 1RA;JEF.DEP.DE SEG.SAN NICOLAS;SI;BACHICHER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;20
BUENOS AIRES;M;Soltera/o;0;MORON;BUENOS AIRES;CRIA.MORON 2DA;JEF.DEP.DE SEG.MORON;SI;CIENCIAS SOCIALES;No posee;SI;NO;NO;24
SUCRE;M;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 1RA;JEF.DEP.DE SEG.MERLO;SI;SI TENGO EL TITULO SECUNDARIO,  PERO ADEUDO DOS MATERIA;No posee;SI;SI;NO;19
BUENOS AIRES;M;Soltera/o;0;JOSE C.PAZ;BUENOS AIRES;CRIA.JOSE C.PAZ 2DA;JEF.DEP.DE SEG.PILAR;SI;BACHILLER EN CIENCIAS NATURALES;No posee;NO;NO;NO;23
POTOSI;F;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 12DA;JEF.DEP.DE SEG.MAR DEL PLATA;SI;BACHILLER EN ECONOMIA Y ADMINISTRACION;Universitario Incompleto;SI;SI;NO;24
BUENOS AIRES;F;Soltera/o;1;FLORENCIO VARELA;BUENOS AIRES;CRIA.QUILMES 4TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER CON ORIENTACION EN ECONOMIA Y ADMINISTRACIO;No posee;NO;NO;NO;25
BUENOS AIRES;M;Soltera/o;0;MERCEDES;BUENOS AIRES;EST.POL.COM.MERCEDES;JEF.DEP.DE SEG.MERCEDES;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;SI;SI;NO;24
BUENOS AIRES;F;Concubinato;2;FLORENCIO VARELA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;ADMINISTRACION Y GESTION EN MICROEMPRENDIMIENTOS;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;LOBOS;BUENOS AIRES;EST.POL.COM.LOBOS;JEF.DEP.DE SEG.SAN VICENTE;NO;BACHILLERATO EN LAS CIENCIAS SOCIALES;No posee;NO;NO;NO;21
BUENOS AIRES;F;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 1RA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLER;Universitario Incompleto;SI;SI;NO;22
BUENOS AIRES;F;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 1RA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLER;No posee;NO;NO;NO;20
EZEIZA - TRISTÁN SUÁREZ;F;Soltera/o;1;EZEIZA;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;BACHILLER EN CIENCIAS NATURALEZ;No posee;SI;NO;NO;20
BUENOS AIRES;M;Soltera/o;0;MUN.URB.DE LA COSTA;BUENOS AIRES;CRIA.DE LA COSTA 3RA;JEF.DEP.DE SEG.PINAMAR;NO;BACHILLER;No posee;NO;NO;NO;22
BUENOS AIRES;M;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 8VA;JEF.DEP.DE SEG.MORENO;NO;BACHILLERATO CS SOCIALES;No posee;NO;NO;NO;23
BRAGADO;F;Soltera/o;1;BRAGADO;BUENOS AIRES;EST.POL.COM.BRAGADO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLER EN CONTABLE;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;JOSE C.PAZ;BUENOS AIRES;CRIA.JOSE C.PAZ 1RA;JEF.DEP.DE SEG.PILAR;NO;SECUNDARIO;No posee;NO;NO;NO;20
BUENOS AIRES;F;Soltera/o;1;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;NO;No posee;SI;NO;SI;24
BUENOS AIRES;M;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA SUR 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;SECUNDARIA COMPLETA;No posee;SI;NO;NO;25
BUENOS AIRES;F;Soltera/o;1;MALVINAS ARGENTINAS;BUENOS AIRES;CRIA.MALVINAS ARGENTINAS 1RA;JEF.DEP.DE SEG.PILAR;NO;BACHILLERATO CON ORIENTACIÓN EN ECONOMÍA;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA ESTE 2DA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLERATO SECUNDARIO COMPLETO;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;2;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 1RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN ESPECIALIZADO EN MICROENPRENDIMIENTOS;No posee;SI;SI;NO;22
BUENOS AIRES;M;Soltera/o;0;QUILMES;BUENOS AIRES;CRIA.QUILMES 7MA;JEF.DEP.DE SEG.QUILMES;NO;MODALIDAD/ORIENTACION BACHILLER ECONOMIA Y ADMINISTRACION;No posee;NO;NO;NO;21
BUENOS AIRES;F;Soltera/o;1;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 2DA;JEF.DEP.DE SEG.MAR DEL PLATA;SI;PRIMARIO Y SECUNDARIO;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;2;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA ESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;ECONOMIA Y ADMINISTRACION;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;BERISSO;BUENOS AIRES;CRIA.BERISSO 3RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;ITUZAINGO;BUENOS AIRES;CRIA.MORON 3RA;JEF.DEP.DE SEG.MORON;NO;ADMINISTRACIÓN DE EMPRESA;No posee;NO;NO;NO;20
BUENOS AIRES;M;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 6TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER CON ORIENTACION EN CIENCIAS SOCIALESESPECIALIZADO EN GESTION POLITICAS Y PUBLICAS;No posee;SI;SI;NO;24
BUENOS AIRES;M;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 11RA;JEF.DEP.DE SEG.LA PLATA;SI;BACHILLER SOCIABLE ESPECIALIZADO EN GESTIÓN POLÍTICA;No posee;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 8VA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER EN CIENCIAS NATURALES (SECUNDARIO COMPLETO);No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;1;JUNIN;BUENOS AIRES;CRIA.JUNIN 1RA;JEF.DEP.DE SEG.JUNIN;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;NO;NO;NO;23
BUENOS AIRES;M;Soltera/o;0;QUILMES;BUENOS AIRES;CRIA.QUILMES 4TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER ORIENTADO EN CIENCIAS POLÍTICAS SOCIALES;No posee;NO;NO;NO;18
AZUL;M;Soltera/o;1;AZUL;BUENOS AIRES;CRIA.AZUL 1RA;JEF.DEP.DE SEG.AZUL;SI;GESTION DE LAS ORGANIZACIONES DE LAS EMPRESAS;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 3RA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLER;No posee;NO;SI;SI;24
SANTA FE;F;Soltera/o;0;CORONEL ROSALES;BUENOS AIRES;CRIA.BAHIA BLANCA 1RA;JEF.DEP.DE SEG.BAHIA BLANCA;NO;BACHILLER EN ECONOMÍA Y ADMINISTRACIÓN;No posee;NO;SI;NO;19
LA PLATA;M;Soltera/o;1;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 4TA;JEF.DEP.DE SEG.LA PLATA;NO;SECUNDARIO;No posee;NO;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;SUBCRIA.LA UNION;JEF.DEP.DE SEG.LA PLATA;NO;TÉCNICO QUIMICO;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;1;SAN FERNANDO;BUENOS AIRES;CRIA.SAN FERNANDO 1RA;JEF.DEP.DE SEG.CONURBANO NORTE;NO;CIENCIAS SOCIALES;No posee;SI;NO;NO;25
BUENOS AIRES;M;Soltera/o;1;BERISSO;BUENOS AIRES;CRIA.LA PLATA 2DA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO;No posee;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;1;BERISSO;BUENOS AIRES;CRIA.LA PLATA 1RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 1RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN ESPECIALIZADO EN MICROEMPRENDIMIENTO;No posee;SI;SI;NO;22
BUENOS AIRES;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;ARTES VISUALES;No posee;SI;SI;NO;20
BUENOS AIRES;F;Soltera/o;1;EZEIZA;BUENOS AIRES;CRIA.EZEIZA 2DA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN;No posee;SI;NO;NO;22
TUCUMAN;M;Soltera/o;0;SAN MIGUEL;BUENOS AIRES;CRIA.SAN MIGUEL 3RA;JEF.DEP.DE SEG.PILAR;NO;BACHILLER EN ECONOMIA Y ADMINISTRACION;No posee;NO;NO;NO;22
BUENOS AIRES;M;Soltera/o;0;EZEIZA;BUENOS AIRES;CRIA.LANUS 1RA;JEF.DEP.DE SEG.LANUS;SI;BACHILLER CON ORIENTACION EN IDIOMAS;No posee;SI;SI;SI;21
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 14TA;JEF.DEP.DE SEG.LA PLATA;NO;GESTIÓN EN CIAENCIAS SOCIALES;No posee;NO;NO;NO;21
BUENOS AIRES;F;Soltera/o;0;ITUZAINGO;BUENOS AIRES;SUBCRIA.BARRIO MATERA;JEF.DEP.DE SEG.MERLO;NO;ECONOMÍA Y ADMINISTRACIÓN;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;ESTEBAN ECHEVERRIA;BUENOS AIRES;CRIA.ESTEBAN ECHEVERRIA 4TA;JEF.DEP.DE SEG.ALTE.BROWN;NO;CIENCIAS NATURALES;No posee;SI;NO;NO;21
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.QUILMES 1RA;JEF.DEP.DE SEG.QUILMES;NO;ARTES VISUALES;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 3RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER;No posee;SI;SI;NO;24
BUENOS AIRES;M;Soltera/o;0;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.LOMAS DE ZAMORA 9NA;JEF.DEP.DE SEG.LANUS;NO;CULTURA, CIENCIA Y TEGNOLOGIA;No posee;SI;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 2DA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN;No posee;SI;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;BERAZATEGUI;BUENOS AIRES;CRIA.BERAZATEGUI 1RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER EN CIENCIAS SOCIALES;Universitario Incompleto;SI;NO;NO;20
FORMOSA;F;Concubinato;0;MORON;BUENOS AIRES;CRIA.MORON 1RA;JEF.DEP.DE SEG.MORON;NO;HUMANIDADES Y CIENCIAS SOCIALES;No posee;SI;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 4TA;JEF.DEP.DE SEG.LA PLATA;SI;ORIENTACION EN INFORMATICA;No posee;NO;NO;NO;23
BUENOS AIRES;F;Concubinato;2;PILAR;BUENOS AIRES;CRIA.PILAR 1RA;JEF.DEP.DE SEG.PILAR;NO;HUMANIDADES Y CIENCIAS SOCIALES;Universitario Incompleto;NO;NO;NO;24
HAEDO;M;Soltera/o;0;CHACABUCO;BUENOS AIRES;EST.POL.COM.CHACABUCO;JEF.DEP.DE SEG.JUNIN;SI;BACHILLERATO EN ECONOMIA;No posee;SI;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA NORESTE 3RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLERATO;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;BERAZATEGUI;BUENOS AIRES;CRIA.BERAZATEGUI 4TA;JEF.DEP.DE SEG.QUILMES;NO;ECONOMÍA;No posee;NO;NO;NO;18
BUENOS AIRES;M;Soltera/o;0;CORONEL ROSALES;BUENOS AIRES;EST.POL.COM.PUNTA ALTA;JEF.DEP.DE SEG.BAHIA BLANCA;NO;BACHILLER;No posee;SI;SI;NO;19
BUENOS AIRES;M;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 2DA;JEF.DEP.DE SEG.LA MATANZA;NO;SECUNDARIO;No posee;NO;NO;NO;21
SAN MIGUEL DE TUCUMÁN;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 1RA;JEF.DEP.DE SEG.QUILMES;NO;ECONOMÍA Y GESTIÓN DE LAS ORGANIZACIONES;No posee;SI;SI;NO;18
BUENOS AIRES;F;Soltera/o;1;CORONEL ROSALES;BUENOS AIRES;EST.POL.COM.PUNTA ALTA;JEF.DEP.DE SEG.BAHIA BLANCA;NO;SECUNDARIO;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;0;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;SI;NO;20
BUENOS AIRES;F;Soltera/o;0;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;SI;NO;20
BUENOS AIRES;F;Soltera/o;1;ALMIRANTE BROWN;BUENOS AIRES;CRIA.MAR DEL PLATA 1RA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLERATO EN ECONOMÍA Y GESTIÓN;No posee;SI;NO;NO;23
BUENOS AIRES;F;Soltera/o;1;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 1RA;JEF.DEP.DE SEG.QUILMES;NO;ORIENTACIÓN EN MICRO EMPRENDIMIENTO;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 4TA;JEF.DEP.DE SEG.LA MATANZA;NO;ADMINISTRACION CONTABLE;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;0;BAHIA BLANCA;BUENOS AIRES;CRIA.BAHIA BLANCA 6TA.;JEF.DEP.DE SEG.BAHIA BLANCA;NO;SECUNDARIO COMPLETO;No posee;NO;NO;NO;19
BUENOS AIRES;F;Concubinato;2;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 7MA;JEF.DEP.DE SEG.ALTE.BROWN;NO;ANALÍTICO BACHILLERATO;No posee;SI;NO;NO;22
BUENOS AIRES;M;Soltera/o;1;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 3RA;JEF.DEP.DE SEG.LA PLATA;SI;TÉCNICO AGROPECUARIO;No posee;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;0;BERAZATEGUI;BUENOS AIRES;CRIA.LA PLATA 1RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;PRESIDENTE PERON;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;BACHILLER;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;0;TIGRE;BUENOS AIRES;CRIA.TIGRE 1RA;JEF.DEP.DE SEG.CONURBANO NORTE;NO;BACHILLERATO EN CIENCIAS SOCIALES;Terciario Completo;NO;SI;NO;20
BUENOS AIRES;F;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MAR DEL PLATA 1RA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;EN TRAMITE;No posee;NO;NO;NO;18
PASO DEL REY;F;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 2DA;JEF.DEP.DE SEG.MORENO;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;24
ENTRE RIOS;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 4TA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER DE INFORMÁTICA;No posee;SI;SI;NO;24
SALTA;F;Soltera/o;0;VILLA GESELL;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;BACHILLERATO EN HUMANIDAD Y CIENCIAS SOCIALES;No posee;SI;SI;NO;21
BUENOS AIRES;F;Casada/o;1;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 4TA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER. CIENCIAS SOCIALES;No posee;SI;SI;NO;24
BUENOS AIRES;F;Soltera/o;0;TIGRE;BUENOS AIRES;CRIA.TIGRE 1RA;JEF.DEP.DE SEG.CONURBANO NORTE;NO;BACHILLERATO EN ECONOMÍA Y ADMINISTRACIÓN;No posee;NO;NO;NO;21
BUENOS AIRES;F;Soltera/o;1;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA SUR 3RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;QUILMES;BUENOS AIRES;CRIA.QUILMES 4TA;JEF.DEP.DE SEG.QUILMES;SI;BACHILLER EN ECONOMIA Y ADMINISTRACCION;No posee;NO;SI;NO;21
BUENOS AIRES;F;Soltera/o;1;GENERAL PUEYRREDON;BUENOS AIRES;SUBCRIA.CASINO;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;1;GENERAL PAZ;BUENOS AIRES;EST.POL.COM.GENERAL PAZ;JEF.DEP.DE SEG.SAN VICENTE;NO;BACHILLER EN CIENCAS NATURALES;Terciario Completo;SI;SI;NO;22
BUENOS AIRES;F;Soltera/o;0;EZEIZA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER EN ECONOMIA Y ADMINISTRACION;No posee;NO;NO;NO;19
BUENOS AIRES;M;Soltera/o;0;TAPALQUE;BUENOS AIRES;EST.POL.COM.TAPALQUE;JEF.DEP.DE SEG.AZUL;NO;BACHILLER EN TECNOLOGÍA;Terciario Incompleto;SI;SI;NO;23
TUCUMAN;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 3RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER EN CIENCIAS NATURALES;No posee;SI;NO;NO;22
BRAGADO;M;Soltera/o;0;BRAGADO;BUENOS AIRES;EST.POL.COM.BRAGADO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLER EN ORIENTACIÓN EN CIENCIAS SOCIALES;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 7MA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;23
BUENOS AIRES;M;Soltera/o;0;LOBERIA;BUENOS AIRES;EST.POL.COM.LOBERIA;JEF.DEP.DE SEG.NECOCHEA;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;SI;SI;SI;22
BUENOS AIRES;M;Soltera/o;0;LOBERIA;BUENOS AIRES;EST.POL.COM.LOBERIA;JEF.DEP.DE SEG.NECOCHEA;SI;BACHILLERATO EN CIENCIAS SOCIALES;Terciario Incompleto;SI;SI;SI;22
BUENOS AIRES;F;Soltera/o;0;ALBERTI;BUENOS AIRES;EST.POL.COM.ALBERTI;JEF.DEP.DE SEG.MERCEDES;SI;BACHILLERATO EN COMUNICACIÓN;No posee;NO;NO;NO;18
BUENOS AIRES;F;Soltera/o;1;PRESIDENTE PERON;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;ECONOMÍA Y GESTIÓN;Terciario Completo;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.LOMAS DE ZAMORA 10MA;JEF.DEP.DE SEG.LANUS;NO;CIENCIAS SOCIALES;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 6TA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLERATO;No posee;NO;NO;NO;20
OBERA;F;Soltera/o;0;OBERA;MISIONES;CRIA.SAN VICENTE 2DA;JEF.DEP.DE SEG.SAN VICENTE;NO;BACHILLER EN ECONOMIA Y ADMINISTRACION;No posee;SI;NO;NO;21
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 6TA;JEF.DEP.DE SEG.LA PLATA;NO;TÉCNICO QUÍMICO;No posee;NO;NO;NO;19
BUENOS AIRES;M;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.QUILMES 4TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER;No posee;SI;NO;NO;20
TIGRE;F;Soltera/o;0;TIGRE;BUENOS AIRES;CRIA.PILAR 1RA;JEF.DEP.DE SEG.PILAR;NO;BACHILLER CIENCIA SOCIALES;No posee;SI;NO;NO;22
MISIONES;F;Concubinato;1;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 7MA;JEF.DEP.DE SEG.ALTE.BROWN;NO;SECUNDARIO;No posee;SI;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;CAPITAL FEDERAL;CIUDAD AUTÓNOMA DE BUENOS AIRES;CRIA.LANUS 1RA;JEF.DEP.DE SEG.LANUS;NO;CIENCIAS SOCIALES;No posee;NO;SI;SI;21
BUENOS AIRES;M;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 4TA;JEF.DEP.DE SEG.QUILMES;NO;BACHINLLER  EN ARTES VISUALES;No posee;SI;SI;SI;20
BUENOS AIRES;F;Concubinato;2;BALCARCE;BUENOS AIRES;EST.POL.COM.BALCARCE;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLER CON ORIENTACION EN GESTIÓN Y ADMINISTRACIÓN ESPECIALIZADIOS EN MICROENPRENDIMIENTOS;No posee;SI;SI;NO;25
BUENOS AIRES;M;Soltera/o;0;BERISSO;BUENOS AIRES;CRIA.LA PLATA 1RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER EN CS. NATURALES;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;1;PINAMAR;BUENOS AIRES;EST.POL.COM.PINAMAR;JEF.DEP.DE SEG.PINAMAR;NO;BACHILLERATO;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;1;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 4TA;JEF.DEP.DE SEG.ALTE.BROWN;NO;COMPLETO;No posee;SI;SI;NO;24
BUENOS AIRES;M;Soltera/o;0;BERISSO;BUENOS AIRES;CRIA.BERISSO 3RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER CIENCIAS NATURALES;No posee;NO;NO;NO;23
